region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size
POA2720,40,1500,486,180,1253,1.1,968,2.4
POA2721,46,303,365,68,809,1.0,805,2.6
POA2722,42,1213,462,150,1134,1.1,887,2.5
POA2725,46,777,358,95,790,1.1,775,2.5
POA2726,44,1603,566,0,1262,1.1,985,2.5
POA2727,43,1170,536,0,1399,1.1,989,2.6
POA2729,43,1166,459,121,1204,1.1,913,2.5
POA2730,47,930,453,120,1036,1.1,786,2.2
POA2731,46,1517,474,220,1077,1.1,870,2.3
POA2732,51,1200,412,135,974,1.1,775,2.2
POA2733,46,770,447,94,968,1.1,782,2.4
POA2735,43,960,389,125,1037,1.1,942,2.8
POA2736,48,1300,390,150,1029,1.1,747,2.2
POA2737,36,1040,525,135,1239,1.2,1043,2.7
POA2738,36,1603,598,160,1445,1.1,1227,2.8
POA2739,38,1300,537,150,1235,1.1,1018,2.5
POA2745,32,2200,746,350,1960,1.1,1856,3.2
POA2747,33,1820,597,280,1467,1.1,1302,2.8
POA2748,40,3250,593,323,1808,1.1,1519,3.4
POA2749,31,2000,654,266,1649,1.1,1547,3.1
POA2750,36,1950,617,280,1555,1.1,1256,2.5
POA2752,35,2000,650,300,1742,1.1,1542,3.1
POA2753,37,2000,601,280,1495,1.1,1264,2.7
POA2754,38,2000,603,300,1575,1.1,1335,2.7
POA2756,34,2000,624,280,1576,1.1,1401,2.9
POA2757,42,1800,558,170,1628,1.1,1585,2.7
POA2758,40,2200,662,295,1842,1.1,1705,3.0
POA2759,32,2000,668,340,1753,1.1,1716,3.2
POA2760,34,1874,515,280,1241,1.1,1093,2.7
POA2761,30,2000,623,350,1572,1.2,1562,3.5
POA2762,35,2167,618,328,1660,1.1,1451,2.9
POA2763,32,2167,710,360,1863,1.1,1801,3.2
POA2765,37,2167,582,300,1526,1.1,1310,2.9
POA2766,34,2000,526,320,1470,1.2,1403,3.2
POA2767,33,2100,521,240,1467,1.1,1372,3.2
POA2768,32,2600,775,490,2175,1.1,2159,3.4
POA2769,30,3200,1008,600,2450,1.0,2468,3.3
POA2770,30,1636,394,220,1010,1.2,950,3.1
POA2773,39,2058,731,330,2165,1.1,1884,2.8
POA2774,39,2000,678,313,1882,1.1,1620,2.8
POA2775,45,1733,498,200,1120,1.2,825,2.2
POA2776,39,1990,656,300,1820,1.1,1578,2.8
POA2777,40,1993,644,310,1813,1.1,1518,2.7
POA2778,41,1842,640,300,1745,1.1,1493,2.7
POA2779,38,1777,588,277,1525,1.1,1244,2.6
POA2780,45,1610,493,250,1212,1.1,877,2.1
POA2782,48,1880,533,300,1309,1.1,1001,2.3
POA2783,41,1733,544,265,1401,1.1,1107,2.5
POA2784,42,1500,555,280,1432,1.1,1271,2.5
POA2785,47,1625,530,250,1165,1.1,919,2.2
POA2786,46,1300,447,250,1028,1.1,865,2.2
POA2787,41,1517,518,170,1216,1.1,969,2.4
POA2790,42,1430,452,175,1195,1.1,874,2.3
POA2791,39,1744,574,110,1548,1.1,1233,2.6
POA2792,41,1100,456,125,847,1.1,894,2.5
POA2793,51,975,379,150,924,1.1,702,2.2
POA2794,44,1100,421,160,1012,1.1,792,2.4
POA2795,36,1634,546,215,1434,1.1,1143,2.5
POA2797,50,981,410,150,887,1.1,945,2.0
POA2798,38,1733,639,200,1688,1.1,1485,2.7
POA2799,40,1430,503,170,1266,1.1,1026,2.5
POA2800,36,1644,589,230,1500,1.1,1189,2.5
POA2803,51,800,397,0,749,1.0,726,2.2
POA2804,45,1083,413,133,981,1.1,812,2.4
POA2805,47,1092,363,145,733,1.1,617,2.3
POA2806,47,1000,447,92,1060,1.1,774,2.3
POA2807,46,507,322,150,654,1.1,574,2.1
POA2808,53,800,391,100,744,1.1,753,2.1
POA2809,43,1387,366,50,785,1.1,717,2.6
POA2810,48,867,388,119,895,1.1,720,2.3
POA2820,41,1157,405,132,936,1.1,758,2.4
POA2821,39,1112,500,160,1098,1.1,865,2.5
POA2823,40,652,470,110,1024,1.1,807,2.4
POA2824,42,867,475,120,1070,1.1,842,2.3
POA2825,39,1083,480,150,1199,1.1,913,2.5
POA2827,44,975,403,126,923,1.1,741,2.4
POA2828,44,1083,366,125,809,1.1,653,2.4
POA2829,40,780,462,120,1027,1.1,839,2.5
POA2830,36,1512,579,200,1345,1.1,1099,2.6
POA2831,41,1300,480,55,1076,1.1,928,2.6
POA2832,36,888,451,100,1210,1.2,966,2.6
POA2833,39,433,430,100,1025,1.1,905,2.4
POA2834,48,834,350,120,764,1.2,541,2.0
POA2835,35,1387,637,150,1734,1.1,1385,2.4
POA2836,32,0,373,65,827,1.2,817,2.7
POA2839,32,650,378,90,861,1.2,777,2.7
POA2840,35,867,600,80,1234,1.1,1085,2.6
POA2842,51,675,323,111,613,1.1,584,2.2
POA2843,42,867,406,110,975,1.1,788,2.4
POA2844,45,867,374,110,868,1.1,712,2.4
POA2845,39,1517,491,165,1412,1.1,1131,2.6
POA2846,48,1153,393,100,956,1.1,684,2.1
POA2847,43,1430,412,170,1091,1.1,902,2.4
POA2848,45,1000,347,160,796,1.1,584,2.2
POA2849,49,1517,395,160,1074,1.1,740,2.2
POA2850,41,1654,479,230,1266,1.1,985,2.5
POA2852,40,1430,429,200,1182,1.1,948,2.5
POA2864,42,1400,581,155,1472,1.1,1241,2.7
POA2865,39,1300,473,103,1138,1.1,949,2.4
POA2866,40,1400,510,170,1231,1.1,1002,2.6
POA2867,43,780,436,85,940,1.0,834,2.6
POA2868,40,1041,380,90,879,1.1,657,2.5
POA2869,47,900,366,100,862,1.1,673,2.3
POA2870,38,1343,487,160,1193,1.1,947,2.5
POA2871,41,1135,458,150,1014,1.1,827,2.4
POA2873,50,693,378,50,777,1.1,648,2.2
POA2874,47,433,442,26,900,1.1,686,2.5
POA2875,44,1000,398,75,931,1.1,819,2.5
POA2876,43,710,366,100,744,1.1,718,2.8
POA2877,40,867,448,120,972,1.1,832,2.4
POA2878,37,200,500,95,1093,1.1,862,2.1
POA2879,44,542,397,63,929,1.1,780,2.1
POA2880,43,953,421,150,996,1.1,791,2.2
POA2898,48,1102,629,125,1347,1.2,924,2.3
POA3000,26,1950,545,402,1446,1.3,994,1.8
POA3002,36,2383,1164,415,2693,1.1,1989,1.8
POA3003,30,2400,800,441,2006,1.2,1704,2.2
POA3004,34,2167,1103,450,2544,1.2,1921,1.9
POA3005,30,2167,1056,500,2416,1.2,1944,2.0
POA3006,29,2300,988,496,2235,1.2,1838,1.9
POA3008,31,2800,1062,501,2417,1.2,1915,1.9
POA3010,20,0,131,0,3650,1.2,3250,2.5
POA3011,33,2000,557,270,1435,1.2,1181,2.3
POA3012,34,1903,546,262,1402,1.2,1162,2.5
POA3013,36,2200,767,323,2032,1.1,1583,2.4
POA3015,36,2150,761,321,2077,1.1,1626,2.5
POA3016,41,2167,753,306,2362,1.1,1699,2.5
POA3018,42,1850,573,280,1564,1.1,1160,2.3
POA3019,32,1517,339,217,894,1.3,792,2.8
POA3020,36,1500,376,250,1003,1.2,929,2.8
POA3021,35,1365,361,250,967,1.2,907,2.9
POA3022,37,1450,416,250,1002,1.1,895,2.5
POA3023,31,1950,605,310,1490,1.1,1423,3.1
POA3024,30,1700,652,277,1444,1.1,1356,2.9
POA3025,39,2000,393,271,1049,1.1,910,2.6
POA3026,52,0,450,180,749,1.1,612,1.1
POA3027,30,2194,811,321,1880,1.1,1842,2.9
POA3028,36,1500,517,271,1335,1.1,1221,2.7
POA3029,31,1733,618,285,1492,1.1,1402,3.0
POA3030,32,1907,648,277,1649,1.1,1470,2.9
POA3031,32,2167,762,290,1953,1.2,1401,2.2
POA3032,33,2167,709,311,1892,1.1,1512,2.5
POA3033,42,1733,508,310,1385,1.1,1226,2.7
POA3034,43,1788,440,300,1282,1.1,1100,2.6
POA3036,43,2000,644,325,1845,1.1,1541,2.8
POA3037,31,1835,603,300,1558,1.1,1491,3.2
POA3038,38,1560,525,300,1618,1.1,1505,3.2
POA3039,37,2167,763,321,2190,1.1,1611,2.4
POA3040,38,2167,719,300,2147,1.1,1571,2.5
POA3041,39,2000,680,330,2026,1.1,1634,2.7
POA3042,40,1800,555,300,1463,1.1,1204,2.5
POA3043,39,1733,542,285,1337,1.1,1150,2.6
POA3044,37,1954,585,315,1577,1.1,1283,2.5
POA3045,39,2167,730,0,2166,1.3,733,3.5
POA3046,36,1777,451,290,1202,1.1,1004,2.6
POA3047,32,1300,324,245,843,1.2,762,3.0
POA3048,30,1400,319,271,884,1.2,867,3.4
POA3049,38,1733,595,282,1567,1.1,1388,2.8
POA3051,29,2000,613,336,1734,1.2,1230,2.1
POA3052,29,2100,533,370,1939,1.2,1480,2.3
POA3053,25,1907,366,344,1295,1.2,633,1.9
POA3054,32,2400,840,414,2285,1.1,1740,2.3
POA3055,34,1950,651,277,1630,1.2,1232,2.2
POA3056,33,2000,685,350,1809,1.2,1433,2.3
POA3057,33,2100,741,358,1933,1.1,1468,2.3
POA3058,36,1950,530,320,1473,1.2,1268,2.6
POA3059,36,2000,549,370,1748,1.1,1730,3.5
POA3060,37,1613,362,281,995,1.2,865,2.8
POA3061,34,1500,310,235,824,1.3,786,3.1
POA3062,64,0,0,0,0,0,0,0
POA3063,40,2000,565,360,1442,1.1,1534,3.2
POA3064,29,1818,528,315,1370,1.1,1349,3.3
POA3065,33,2300,788,350,1917,1.2,1483,2.1
POA3066,32,2167,743,278,1723,1.2,1278,2.0
POA3067,35,2253,858,391,2233,1.2,1797,2.3
POA3068,35,2167,879,380,2370,1.1,1782,2.3
POA3070,36,2011,736,346,2031,1.1,1563,2.4
POA3071,36,2000,640,290,1611,1.2,1275,2.3
POA3072,36,1890,518,300,1373,1.2,1155,2.5
POA3073,38,1733,434,275,1156,1.1,972,2.5
POA3074,38,1517,360,271,962,1.1,900,2.9
POA3075,38,1585,361,280,987,1.1,919,2.9
POA3076,32,1800,542,300,1370,1.1,1283,3.0
POA3078,36,2000,743,300,2137,1.1,1538,2.4
POA3079,39,2167,748,323,2274,1.1,1709,2.6
POA3081,35,1733,452,245,1169,1.2,938,2.4
POA3082,35,1600,538,301,1457,1.1,1368,3.1
POA3083,36,1800,473,320,1367,1.1,1172,2.8
POA3084,40,2000,672,325,1925,1.1,1551,2.6
POA3085,37,1993,658,293,1823,1.1,1458,2.6
POA3086,20,0,173,0,0,0,0,0
POA3087,38,1755,589,294,1529,1.1,1300,2.6
POA3088,38,1800,646,301,1783,1.1,1524,2.7
POA3089,36,1950,691,330,2033,1.1,1860,3.1
POA3090,38,2400,696,251,2257,1.0,2215,3.4
POA3091,42,2200,667,135,2075,1.0,1930,3.3
POA3093,42,2000,724,290,2088,1.1,1584,2.5
POA3094,39,1850,678,300,1806,1.1,1457,2.5
POA3095,39,1950,716,330,2175,1.1,1923,3.0
POA3096,39,1810,624,323,1902,1.1,1726,3.2
POA3097,42,1941,682,265,2058,1.1,1773,3.0
POA3099,39,1760,661,250,1809,1.1,1589,2.9
POA3101,39,2433,841,385,2577,1.1,2022,2.6
POA3102,39,2200,758,371,2198,1.1,1807,2.7
POA3103,42,2253,650,355,2144,1.1,1563,2.6
POA3104,41,2243,629,415,2140,1.1,1787,2.9
POA3105,43,2000,510,350,1469,1.1,1225,2.6
POA3106,43,2167,615,386,1959,1.0,1789,3.0
POA3107,44,2149,571,368,1682,1.0,1429,2.7
POA3108,44,2000,525,369,1445,1.1,1242,2.6
POA3109,41,2000,533,359,1540,1.1,1356,2.8
POA3111,42,2123,631,350,1926,1.0,1614,2.8
POA3113,40,2000,718,380,2267,1.1,2074,3.1
POA3114,41,2167,720,520,2437,1.0,2329,3.3
POA3115,40,2000,725,350,2319,1.0,2221,3.2
POA3116,40,1760,587,330,1563,1.0,1418,2.8
POA3121,33,2380,927,370,2188,1.2,1731,2.1
POA3122,31,2200,830,340,2492,1.2,1627,2.2
POA3123,33,2400,862,355,2556,1.1,1833,2.4
POA3124,41,2500,792,387,2613,1.1,2122,2.7
POA3125,34,2000,411,325,1569,1.1,1100,2.6
POA3126,44,2817,805,370,2763,1.1,2352,2.7
POA3127,39,2206,769,358,2552,1.1,1961,2.7
POA3128,34,2000,499,301,1569,1.1,1132,2.5
POA3129,38,2000,577,335,1678,1.1,1330,2.6
POA3130,40,1987,591,323,1788,1.1,1387,2.6
POA3131,39,1873,563,300,1509,1.1,1202,2.5
POA3132,38,1900,651,310,1755,1.1,1424,2.5
POA3133,42,1900,578,350,1721,1.0,1459,2.8
POA3134,38,1798,618,290,1729,1.1,1393,2.6
POA3135,39,1790,620,290,1612,1.1,1297,2.5
POA3136,38,1733,597,291,1567,1.1,1267,2.6
POA3137,38,1647,578,280,1461,1.1,1211,2.6
POA3138,35,1733,595,294,1551,1.1,1360,2.8
POA3139,37,1517,565,246,1389,1.1,1219,2.8
POA3140,37,1733,591,275,1548,1.1,1284,2.7
POA3141,33,2291,1024,360,2391,1.2,1694,1.9
POA3142,43,2700,1031,380,2746,1.1,1977,2.2
POA3143,36,2500,953,350,2552,1.1,1713,2.1
POA3144,39,2800,919,360,2675,1.1,2047,2.5
POA3145,36,2383,699,350,2380,1.1,1663,2.6
POA3146,37,2383,837,351,2563,1.1,1965,2.6
POA3147,38,2167,609,300,2020,1.1,1469,2.7
POA3148,33,2000,509,330,1461,1.1,1234,2.6
POA3149,41,2000,567,360,1649,1.1,1369,2.7
POA3150,42,2000,540,370,1617,1.1,1418,2.8
POA3151,40,1841,459,350,1404,1.1,1174,2.7
POA3152,41,1741,574,331,1702,1.1,1463,2.8
POA3153,36,1657,594,275,1428,1.1,1186,2.5
POA3154,37,1636,649,255,1629,1.1,1455,2.8
POA3155,39,1690,588,290,1392,1.1,1162,2.4
POA3156,38,1733,603,285,1613,1.1,1392,2.8
POA3158,37,1681,640,280,1783,1.1,1537,2.8
POA3159,38,1733,652,270,1761,1.1,1578,3.0
POA3160,37,1625,622,254,1672,1.1,1452,2.8
POA3161,37,2210,822,350,2339,1.1,1735,2.5
POA3162,40,2232,707,360,2117,1.1,1547,2.5
POA3163,34,2000,664,300,1770,1.2,1287,2.3
POA3165,40,2037,595,363,1695,1.1,1406,2.7
POA3166,35,2000,557,340,1607,1.1,1340,2.6
POA3167,39,1896,499,304,1468,1.1,1272,2.7
POA3168,28,1800,357,320,1146,1.2,962,2.7
POA3169,36,1733,414,291,1199,1.2,1116,2.8
POA3170,39,1923,543,321,1473,1.1,1348,2.8
POA3171,34,1500,352,260,922,1.3,884,2.9
POA3172,38,1700,482,278,1274,1.1,1155,2.9
POA3173,37,1800,481,300,1317,1.1,1253,3.1
POA3174,35,1500,412,250,1042,1.2,927,2.7
POA3175,35,1500,393,249,1014,1.2,899,2.7
POA3177,35,1300,370,240,917,1.2,819,2.7
POA3178,36,1820,634,350,1799,1.0,1699,3.1
POA3179,36,1733,596,318,1617,1.1,1486,2.9
POA3180,40,1700,598,326,1478,1.1,1310,2.7
POA3181,34,2253,927,360,2269,1.1,1560,1.9
POA3182,33,2121,961,340,2249,1.2,1488,1.8
POA3183,32,2058,840,325,1967,1.2,1449,2.1
POA3184,34,2200,1061,350,2388,1.1,1715,1.9
POA3185,37,2167,811,325,2179,1.1,1497,2.3
POA3186,44,3000,883,450,2681,1.1,2200,2.6
POA3187,43,2492,730,441,2453,1.1,1797,2.6
POA3188,40,2346,699,330,2280,1.1,1653,2.6
POA3189,39,2000,593,328,1635,1.1,1294,2.5
POA3190,39,2167,662,321,1826,1.1,1384,2.4
POA3191,42,2500,783,385,2548,1.1,1836,2.5
POA3192,40,1950,597,311,1622,1.1,1233,2.4
POA3193,44,2400,746,411,2345,1.1,1845,2.6
POA3194,41,2000,664,290,1770,1.1,1288,2.3
POA3195,39,2000,674,301,1890,1.1,1492,2.6
POA3196,39,1800,623,276,1593,1.1,1179,2.3
POA3197,41,1950,649,320,1719,1.1,1305,2.4
POA3198,39,1553,559,250,1333,1.1,1006,2.3
POA3199,40,1600,541,260,1335,1.1,1043,2.4
POA3200,39,1180,382,225,887,1.1,762,2.4
POA3201,34,1600,591,290,1339,1.1,1184,2.6
POA3202,37,2000,713,415,1947,1.1,1752,2.9
POA3204,38,2100,661,346,2000,1.1,1538,2.6
POA3205,37,2500,920,400,2451,1.1,1670,2.0
POA3206,40,3000,1037,450,2697,1.1,2103,2.2
POA3207,38,2513,1091,450,2616,1.1,1997,2.0
POA3211,40,1733,600,180,1575,1.1,1393,2.9
POA3212,36,1647,580,270,1592,1.1,1392,2.8
POA3214,36,1153,371,185,894,1.1,752,2.4
POA3215,41,1495,464,240,1214,1.1,957,2.4
POA3216,39,1614,554,250,1492,1.1,1181,2.5
POA3217,26,1800,502,380,1750,1.0,1578,3.1
POA3218,36,1517,592,225,1537,1.1,1062,2.2
POA3219,39,1335,485,210,1153,1.1,889,2.3
POA3220,40,1733,644,260,1820,1.1,1286,2.3
POA3221,41,1733,546,220,1567,1.1,1334,2.9
POA3222,44,1500,492,257,1271,1.1,1035,2.6
POA3223,55,1517,409,235,942,1.0,763,2.1
POA3224,39,1570,546,275,1391,1.0,1191,2.6
POA3225,54,1500,565,242,1379,1.0,1010,2.2
POA3226,40,1625,586,275,1477,1.0,1197,2.5
POA3227,41,1800,676,300,1757,1.1,1432,2.6
POA3228,37,2000,673,330,1713,1.1,1440,2.7
POA3230,48,1700,530,240,1253,1.1,959,2.3
POA3231,46,1408,546,185,1323,1.1,1003,2.4
POA3232,50,1300,539,270,1142,1.1,912,2.1
POA3233,50,1300,493,220,1029,1.1,840,2.1
POA3235,40,1395,530,100,1011,1.1,942,2.7
POA3236,46,1250,390,180,1078,1.0,763,2.0
POA3237,46,1083,418,140,914,1.1,835,2.3
POA3238,47,660,519,50,1291,1.2,971,2.6
POA3239,49,1300,453,170,939,1.1,909,2.3
POA3240,39,1517,588,150,1648,1.1,1483,3.0
POA3241,44,1213,449,200,1087,1.1,933,2.4
POA3242,44,1408,517,160,1224,1.1,928,2.4
POA3243,47,867,534,145,1382,1.1,1125,2.4
POA3249,42,1100,528,100,1239,1.1,1051,2.7
POA3250,40,1278,498,180,1174,1.1,905,2.4
POA3251,48,1083,392,125,978,1.1,766,2.4
POA3254,32,1083,515,140,1260,1.1,943,2.9
POA3260,44,1124,466,150,1081,1.1,854,2.3
POA3264,44,1040,459,150,1154,1.1,845,2.3
POA3265,36,1300,542,120,1359,1.1,1158,2.8
POA3266,40,1000,515,125,1216,1.1,998,2.6
POA3267,36,590,585,0,1312,1.1,1156,3.0
POA3268,39,1083,545,130,1229,1.1,1076,2.7
POA3269,38,1400,554,120,1259,1.1,992,2.7
POA3270,56,470,652,175,933,1.0,870,1.7
POA3272,46,940,448,160,1012,1.1,801,2.3
POA3273,49,597,592,0,1100,1.1,1228,2.9
POA3274,42,896,482,60,1212,1.1,815,2.4
POA3275,37,1517,503,100,1180,1.1,1115,2.9
POA3276,38,1192,602,100,1367,1.1,1199,2.9
POA3277,36,1473,634,165,1535,1.1,1301,2.8
POA3278,41,1083,548,160,1365,1.1,1375,3.2
POA3280,38,1500,525,220,1273,1.1,1005,2.4
POA3281,37,1500,628,160,1551,1.1,1431,3.0
POA3282,40,1300,545,200,1282,1.1,1122,2.6
POA3283,38,1304,577,100,1342,1.1,1151,2.8
POA3284,49,1594,510,200,1283,1.1,927,2.2
POA3285,43,1300,504,161,1367,1.1,1174,2.6
POA3286,44,945,475,100,1025,1.1,826,2.4
POA3287,42,867,518,90,1278,1.1,1077,2.8
POA3289,48,780,417,100,1059,1.1,900,2.4
POA3292,53,650,394,145,857,1.1,789,2.1
POA3293,47,521,497,0,985,1.1,806,2.1
POA3294,45,1083,473,120,1108,1.1,830,2.2
POA3300,43,1125,512,170,1213,1.1,904,2.3
POA3301,42,1790,616,93,1389,1.1,1242,2.7
POA3302,43,860,497,125,1304,1.1,955,2.6
POA3303,41,835,500,80,1125,1.1,900,2.4
POA3304,44,1083,442,135,1088,1.1,808,2.3
POA3305,41,1300,489,180,1263,1.1,958,2.4
POA3309,43,1051,468,175,1016,1.1,911,2.4
POA3310,49,338,385,0,1034,1.0,766,2.2
POA3311,51,790,377,110,881,1.1,666,2.1
POA3312,44,670,491,25,1043,1.1,904,2.5
POA3314,39,1086,551,38,1104,1.1,1053,2.7
POA3315,49,847,405,100,969,1.1,762,2.2
POA3317,47,650,410,0,844,1.0,722,2.1
POA3318,48,895,465,120,1163,1.1,695,2.1
POA3319,50,2000,594,50,1156,1.1,955,2.1
POA3321,39,1517,533,190,1518,1.1,1310,2.8
POA3324,53,480,372,75,772,1.0,659,2.1
POA3325,47,820,387,86,1078,1.0,695,2.1
POA3328,39,1700,585,230,1503,1.1,1417,3.0
POA3329,40,759,530,150,1016,1.1,1160,2.9
POA3330,44,958,450,45,1072,1.1,991,2.5
POA3331,36,1733,610,260,1595,1.1,1467,2.9
POA3332,36,1424,606,250,1421,1.1,1360,3.1
POA3333,41,1408,543,150,1229,1.1,1066,2.5
POA3334,45,1562,514,147,1201,1.1,988,2.5
POA3335,39,1300,451,170,1118,1.1,1012,2.7
POA3337,32,1517,559,250,1316,1.1,1167,2.8
POA3338,33,1500,529,240,1259,1.1,1096,2.7
POA3340,38,1600,559,220,1459,1.1,1220,2.7
POA3341,40,1700,597,160,1668,1.1,1454,2.8
POA3342,41,1412,479,190,1236,1.1,1034,2.5
POA3345,44,1430,479,220,1434,1.1,1204,2.7
POA3350,36,1378,530,220,1365,1.1,1045,2.4
POA3351,41,1317,488,130,1208,1.1,1064,2.7
POA3352,39,1486,560,180,1406,1.1,1227,2.7
POA3355,40,1157,435,180,979,1.1,783,2.3
POA3356,36,1300,456,190,1032,1.1,835,2.4
POA3357,39,1455,596,230,1533,1.1,1327,2.7
POA3360,45,855,408,125,1053,1.1,777,2.3
POA3361,48,769,410,100,981,1.1,747,2.4
POA3363,43,1193,450,175,1170,1.1,905,2.4
POA3364,45,1226,496,160,1218,1.1,1039,2.5
POA3370,48,1083,385,150,867,1.1,716,2.3
POA3371,49,900,372,100,930,1.1,733,2.4
POA3373,51,867,387,131,921,1.1,703,2.2
POA3374,45,1094,517,100,1375,1.1,1026,2.4
POA3375,50,1733,427,63,990,1.0,700,2.4
POA3377,43,1083,491,165,1097,1.1,865,2.3
POA3378,47,900,590,69,969,1.2,1093,2.5
POA3379,49,694,397,20,828,1.1,644,2.2
POA3380,43,953,452,150,1078,1.1,823,2.3
POA3381,51,1192,513,148,1125,1.1,889,2.2
POA3384,46,892,425,115,994,1.1,790,2.5
POA3385,45,650,504,115,1189,1.1,1051,2.5
POA3387,47,650,414,0,946,1.0,866,2.4
POA3388,45,509,415,100,1011,1.1,711,2.3
POA3390,47,789,444,130,993,1.1,795,2.3
POA3391,43,1049,402,0,1031,1.1,908,2.5
POA3392,49,542,366,100,892,1.1,742,2.2
POA3393,48,780,450,130,1019,1.1,751,2.2
POA3395,48,396,465,50,1156,1.1,804,2.3
POA3396,51,663,439,130,1176,1.0,814,2.2
POA3400,39,1170,525,170,1177,1.1,904,2.3
POA3401,41,1343,554,80,1344,1.1,1190,2.8
POA3407,45,650,522,75,1171,1.0,884,2.2
POA3409,49,768,532,80,1290,1.0,938,2.3
POA3412,55,583,331,50,850,1.0,568,1.9
POA3413,40,260,523,0,1307,1.1,971,2.6
POA3414,49,889,396,140,961,1.1,774,2.2
POA3418,45,823,501,130,1099,1.1,886,2.3
POA3419,45,729,448,95,989,1.1,785,2.2
POA3420,41,433,566,0,1260,1.1,912,2.5
POA3423,49,650,338,103,735,1.1,645,2.3
POA3424,49,509,404,73,955,1.1,713,2.2
POA3427,39,1300,565,231,1408,1.1,1169,2.6
POA3428,42,1540,583,150,1478,1.0,1375,2.9
POA3429,36,1700,631,275,1648,1.1,1438,2.8
POA3430,43,1400,562,225,1633,1.1,1197,2.7
POA3431,39,1750,674,250,1837,1.1,1637,3.0
POA3433,37,1733,729,190,1978,1.1,1788,3.1
POA3434,38,1517,589,250,1573,1.1,1401,2.9
POA3435,43,1600,549,210,1448,1.1,1212,2.6
POA3437,39,1900,656,280,1890,1.0,1679,2.9
POA3438,36,2000,632,350,1753,1.1,1623,3.1
POA3440,42,1733,635,288,1835,1.1,1490,2.7
POA3441,46,2000,715,300,1881,1.1,1783,2.7
POA3442,42,1705,617,250,1768,1.1,1446,2.6
POA3444,44,1517,504,205,1286,1.1,1022,2.4
POA3446,39,1300,462,200,1171,1.1,951,2.5
POA3447,45,1200,468,250,985,1.1,896,2.3
POA3448,49,1300,472,250,1170,1.0,981,2.4
POA3450,48,1213,465,210,1051,1.1,777,2.1
POA3451,43,1213,477,200,1159,1.1,922,2.4
POA3453,45,1300,514,200,1177,1.1,973,2.5
POA3458,48,1300,446,200,1195,1.1,900,2.2
POA3460,49,1213,462,200,1015,1.1,755,2.0
POA3461,46,1278,467,190,1004,1.1,862,2.3
POA3462,50,1105,414,150,981,1.1,763,2.2
POA3463,51,1083,426,150,1054,1.1,826,2.2
POA3464,44,867,413,138,960,1.1,836,2.5
POA3465,48,901,387,160,866,1.1,689,2.2
POA3467,50,1009,374,135,776,1.1,617,2.2
POA3468,44,650,384,135,1012,1.1,589,2.2
POA3469,50,954,374,85,794,1.1,654,2.3
POA3472,54,824,348,130,710,1.1,565,2.0
POA3475,51,401,329,88,789,1.1,665,2.4
POA3477,49,680,348,90,774,1.1,700,2.5
POA3478,48,867,397,130,910,1.1,713,2.2
POA3480,48,867,411,110,989,1.1,740,2.3
POA3482,41,488,446,50,1105,1.1,863,2.6
POA3483,46,634,438,100,1068,1.1,735,2.3
POA3485,48,483,350,100,944,1.0,666,2.2
POA3490,48,780,446,120,1166,1.1,803,2.3
POA3491,46,650,393,20,924,1.1,787,2.4
POA3494,43,953,530,100,1177,1.1,940,2.5
POA3496,40,1083,429,143,1058,1.1,859,2.5
POA3498,40,1300,501,170,1234,1.1,1012,2.7
POA3500,37,1300,462,180,1064,1.1,854,2.4
POA3501,38,1365,514,160,1367,1.1,1202,2.9
POA3505,42,1161,427,160,1034,1.1,855,2.6
POA3507,44,867,510,100,1100,1.1,988,2.6
POA3509,46,420,485,200,1078,1.1,888,2.3
POA3512,49,867,478,36,1156,1.0,856,2.1
POA3515,39,1497,530,185,1407,1.1,1181,2.7
POA3516,45,1430,424,150,1053,1.1,937,2.6
POA3517,51,650,374,78,865,1.1,689,2.2
POA3518,52,685,356,101,756,1.1,586,2.0
POA3520,60,433,307,0,576,1.1,436,1.9
POA3521,38,1395,454,0,1116,1.1,982,2.8
POA3522,48,1083,391,116,1062,1.1,958,2.6
POA3523,52,1083,369,150,830,1.1,699,2.2
POA3525,50,791,405,120,897,1.1,766,2.2
POA3527,51,542,354,100,814,1.0,610,2.1
POA3530,41,693,416,56,1262,1.1,787,2.6
POA3531,44,542,462,45,933,1.1,868,2.5
POA3533,45,650,450,75,1039,1.1,774,2.3
POA3537,49,758,397,90,965,1.1,819,2.3
POA3540,46,570,389,60,838,1.0,806,2.4
POA3542,43,0,422,80,1083,1.1,785,2.7
POA3544,44,596,476,120,1052,1.1,916,2.7
POA3546,46,433,488,100,1062,1.1,906,2.5
POA3549,36,1055,454,150,1073,1.2,896,2.7
POA3550,38,1300,515,210,1242,1.1,968,2.3
POA3551,37,1522,605,250,1528,1.1,1390,2.9
POA3555,38,1300,491,200,1111,1.1,901,2.4
POA3556,39,1200,453,179,996,1.1,812,2.4
POA3557,39,1257,554,165,1350,1.1,1140,2.7
POA3558,47,683,384,150,948,1.1,704,2.2
POA3559,50,867,398,100,1037,1.1,842,2.5
POA3561,45,1170,474,140,1137,1.1,924,2.5
POA3562,42,1550,388,0,891,1.1,814,2.8
POA3563,44,780,406,126,887,1.1,745,2.6
