region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size
POA2130,35,2090,822,360,2108,1.2,1572,2.2
POA2131,35,2100,575,365,1458,1.3,1313,2.4
POA2132,38,2400,575,390,1798,1.2,1508,2.8
POA2133,38,2167,559,330,1512,1.2,1295,2.7
POA2134,32,2167,437,425,1302,1.3,1184,2.7
POA2135,33,2500,546,420,1671,1.3,1464,2.9
POA2136,38,2380,550,398,1577,1.2,1377,2.8
POA2137,38,2600,732,470,2093,1.1,1830,2.7
POA2138,31,2500,705,530,1912,1.3,1716,2.6
POA2139,42,0,383,330,0,1.0,5000,0
POA2140,30,2008,586,390,1425,1.4,1388,2.7
POA2141,33,2000,424,350,1181,1.3,1153,3.1
POA2142,30,1863,426,320,1128,1.3,1064,2.9
POA2143,35,1788,410,300,1139,1.3,1037,3.0
POA2144,29,1800,352,320,957,1.4,968,3.3
POA2145,34,2167,573,350,1520,1.2,1380,2.8
POA2146,35,2015,613,330,1594,1.1,1433,2.9
POA2147,36,2043,581,275,1584,1.1,1376,2.8
POA2148,33,1950,532,320,1343,1.2,1222,2.9
POA2150,30,1800,596,340,1314,1.4,1274,2.5
POA2151,35,2156,635,340,1714,1.1,1450,2.6
POA2152,37,2300,702,360,1747,1.1,1388,2.4
POA2153,38,2418,708,430,2077,1.1,1905,3.0
POA2154,39,2600,721,456,2287,1.1,2059,3.0
POA2155,33,2700,812,510,2334,1.1,2307,3.4
POA2156,41,2800,709,415,2333,1.0,2210,3.2
POA2157,40,2500,621,263,1722,1.1,1570,3.1
POA2158,42,2775,680,421,2245,1.1,2010,3.0
POA2159,42,2513,658,300,2044,1.1,1679,2.9
POA2160,32,1993,426,320,1142,1.3,1031,2.9
POA2161,31,1950,386,300,1090,1.3,960,3.1
POA2162,36,1950,386,270,1102,1.2,954,3.0
POA2163,36,1517,331,175,833,1.3,668,2.7
POA2164,37,2000,406,300,1203,1.2,1099,3.0
POA2165,35,1781,346,295,954,1.3,896,3.1
POA2166,36,1517,335,250,876,1.3,857,3.2
POA2167,36,1965,611,290,1563,1.1,1394,2.8
POA2168,32,1904,392,219,1154,1.2,1055,3.3
POA2170,34,2037,481,290,1291,1.2,1168,3.0
POA2171,31,2383,640,410,1755,1.1,1783,3.6
POA2172,34,2600,839,400,2408,1.1,2472,3.4
POA2173,30,2200,832,360,2025,1.1,1935,3.2
POA2174,38,0,510,300,1222,1.2,1205,2.9
POA2175,39,3000,525,277,1472,1.1,1353,3.3
POA2176,37,2000,434,350,1363,1.1,1388,3.4
POA2177,34,1950,375,230,1211,1.2,1246,3.5
